author,published_at,like_count,text,public,video_id,text_clean,text_normalized,text_final,label,label_id,label_indobert,confidence
@suryautama578,2026-05-24T17:28:10Z,0,"Program MBG seharusnya hanya untuk daerah terpencil, terperosok dan tertinggal dan tidak di setiap daerah di Indonesia. Output dan outcome belum jelas muatan substansinya dan belum ada indeks tolok ukur yang jelas untuk output dan outcome nya, alih alih tercipta output dan outcome tetapi malah justru membebani anggarsn negara. Ironisnya para yayasan pengelola  atau mitra dapur SPPG justru “kroni” penguasa sehingga tidak memberi kesempatan UMKM. Program MBG resistensi terjadinya pemborosan keuangan negara atau bahkan mungkin kerugian negara",True,lmcwEO9Lqe8,program mbg seharusnya hanya untuk daerah terpencil terperosok dan tertinggal dan tidak di setiap daerah di indonesia output dan outcome belum jelas muatan substansinya dan belum ada indeks tolok ukur yang jelas untuk output dan outcome nya alih alih tercipta output dan outcome tetapi malah justru membebani anggarsn negara ironisnya para yayasan pengelola atau mitra dapur sppg justru kroni penguasa sehingga tidak memberi kesempatan umkm program mbg resistensi terjadinya pemborosan keuangan negara atau bahkan mungkin kerugian negara,program makan bergizi gratis seharusnya hanya untuk daerah terpencil terperosok dan tertinggal dan tidak di setiap daerah di indonesia output dan outcome belum jelas muatan substansinya dan belum ada indeks tolok ukur yang jelas untuk output dan outcome nya alih alih tercipta output dan outcome tetapi malah justru membebani anggarsn negara ironisnya para yayasan pengelola atau mitra dapur sppg justru kroni penguasa sehingga tidak memberi kesempatan umkm program makan bergizi gratis resistensi terjadinya pemborosan keuangan negara atau bahkan mungkin kerugian negara,program makan bergizi gratis daerah terpencil terperosok tertinggal daerah indonesia output outcome muatan substansinya indeks tolok ukur output outcome alih alih tercipta output outcome membebani anggarsn negara ironisnya yayasan pengelola mitra dapur sppg kroni penguasa kesempatan umkm program makan bergizi gratis resistensi pemborosan keuangan negara kerugian negara,Negatif,1,Negatif,0.9353947639465332
@hadiarifin3303,2026-05-23T08:00:05Z,0,"Mari kita lihat kembali Janji  3 capres ketika Kampanye di sesi debat terbuka.

_1 Anis B  Capres No 1_
_Janji politiknya adalah perubahan selalu perubahan, tapi perubahan yg bagaimana tidak jelas   adalah janji  kosong asal janji  tidak punya magna._

_2 Prabowo S Capres No2_
_Janji politiknya adalah Makan siang Gratis untuk anak sekolah dalam upaya Perbaikan Gizi._

_3 Ganjar P  Capres No 3_
_Janji politiknya adalah Pendidikan gratis untuk keluarga miskin berperestasi sampai tingkat perguruan tinggi dalam rangka rakyat mendapatkan hak pendidikan, dan layanan kesehatan gratis bagi lansia yg tidak punya penghasilan_

Dari 3 capres ini kita bisa menilai secara obyektif   menyimpulkan janji politiknya capres yg realitis dan tepat dengan kondisi indonesia saat ini_

Kalau kebijakan presiden terpilih Prabowo  banyak yg tidak tepat   yg salah yg milih  hampir 60℅ pemilih.",True,lmcwEO9Lqe8,mari kita lihat kembali janji capres ketika kampanye di sesi debat terbuka anis b capres no janji politiknya adalah perubahan selalu perubahan tapi perubahan yg bagaimana tidak jelas adalah janji kosong asal janji tidak punya magna prabowo s capres no janji politiknya adalah makan siang gratis untuk anak sekolah dalam upaya perbaikan gizi ganjar p capres no janji politiknya adalah pendidikan gratis untuk keluarga miskin berperestasi sampai tingkat perguruan tinggi dalam rangka rakyat mendapatkan hak pendidikan dan layanan kesehatan gratis bagi lansia yg tidak punya penghasilan dari capres ini kita bisa menilai secara obyektif menyimpulkan janji politiknya capres yg realitis dan tepat dengan kondisi indonesia saat ini kalau kebijakan presiden terpilih prabowo banyak yg tidak tepat yg salah yg milih hampir pemilih,mari kita lihat kembali janji capres ketika kampanye di sesi debat terbuka anis b capres no janji politiknya adalah perubahan selalu perubahan tapi perubahan yang bagaimana tidak jelas adalah janji kosong asal janji tidak punya magna prabowo s capres no janji politiknya adalah makan siang gratis untuk anak sekolah dalam upaya perbaikan gizi ganjar p capres no janji politiknya adalah pendidikan gratis untuk keluarga miskin berperestasi sampai tingkat perguruan tinggi dalam rangka rakyat mendapatkan hak pendidikan dan layanan kesehatan gratis bagi lansia yang tidak punya penghasilan dari capres ini kita bisa menilai secara obyektif menyimpulkan janji politiknya capres yang realitis dan tepat dengan kondisi indonesia saat ini kalau kebijakan presiden terpilih prabowo banyak yang tidak tepat yang salah yang milih hampir pemilih,mari janji capres kampanye sesi debat terbuka anis capres no janji politiknya perubahan perubahan perubahan janji kosong janji magna prabowo capres no janji politiknya makan siang gratis anak sekolah upaya perbaikan gizi ganjar capres no janji politiknya pendidikan gratis keluarga miskin berperestasi tingkat perguruan tinggi rangka rakyat hak pendidikan layanan kesehatan gratis lansia penghasilan capres menilai obyektif menyimpulkan janji politiknya capres realitis kondisi indonesia kebijakan presiden terpilih prabowo salah milih pemilih,Positif,4,Positif,0.87104332447052
@achmadhusein389,2026-05-18T19:21:13Z,0,"335T pertahun, berarti 1,675 Kuadriliun per-satu masa jabatan pak wowo. fyi, jumlah segitu kurang lebih setara sm nilai investasi Nvidia buat pengembangan pusat data super berskala global dan infrastruktur komputasi AI di masa depan.
kurang mindblowing apa coba, dana yg cukup buat jalanin proyek berskala global dan berpotensi ngasih dampak signifikan ke industri di era modern, eh org kita mlh milih all out buat muasin ego realisasi program kampanye yg berpotensi jd ladang basah korupsi nasional😂",True,lmcwEO9Lqe8,t pertahun berarti kuadriliun per satu masa jabatan pak wowo fyi jumlah segitu kurang lebih setara sm nilai investasi nvidia buat pengembangan pusat data super berskala global dan infrastruktur komputasi ai di masa depan kurang mindblowing apa coba dana yg cukup buat jalanin proyek berskala global dan berpotensi ngasih dampak signifikan ke industri di era modern eh org kita mlh milih all out buat muasin ego realisasi program kampanye yg berpotensi jd ladang basah korupsi nasional,t pertahun berarti kuadriliun per satu masa jabatan pak wowo fyi jumlah segitu kurang lebih setara sama nilai investasi nvidia buat pengembangan pusat data super berskala global dan infrastruktur komputasi ai di masa depan kurang mindblowing apa coba dana yang cukup buat jalanin proyek berskala global dan berpotensi ngasih dampak signifikan ke industri di era modern eh org kita mlh milih all out buat muasin ego realisasi program kampanye yang berpotensi jd ladang basah korupsi nasional,pertahun kuadriliun jabatan wowo fyi segitu setara nilai investasi nvidia pengembangan pusat data super berskala global infrastruktur komputasi ai mindblowing coba dana jalanin proyek berskala global berpotensi ngasih dampak signifikan industri era modern org mlh milih all out muasin ego realisasi program kampanye berpotensi jd ladang basah korupsi nasional,Negatif,1,Negatif,0.861569881439209
@jakasusila4522,2026-05-15T09:52:34Z,0,"Pasti parpol yg tergabung nikmati hasil korupsinya,dg dalih beri makan anak sekolah tanpa proses akademesi jelas ngawur tdk profesional,presiden ngotot diteruskan tanpa  dicek hasilnya,benar maling kedok mbg.",True,lmcwEO9Lqe8,pasti parpol yg tergabung nikmati hasil korupsinya dg dalih beri makan anak sekolah tanpa proses akademesi jelas ngawur tdk profesional presiden ngotot diteruskan tanpa dicek hasilnya benar maling kedok mbg,pasti parpol yang tergabung nikmati hasil korupsinya dg dalih beri makan anak sekolah tanpa proses akademesi jelas ngawur tidak profesional presiden ngotot diteruskan tanpa dicek hasilnya benar maling kedok makan bergizi gratis,parpol tergabung nikmati hasil korupsinya dg dalih makan anak sekolah proses akademesi ngawur profesional presiden ngotot diteruskan dicek hasilnya maling kedok makan bergizi gratis,Negatif,1,Negatif,0.9488458037376404
@TonyRush-uq8zf,2026-05-15T02:11:48Z,0,"Menaikan ekonomi pemilik mbg, merusak ekinomi seluruh indonesia.
😊",True,lmcwEO9Lqe8,menaikan ekonomi pemilik mbg merusak ekinomi seluruh indonesia,menaikan ekonomi pemilik makan bergizi gratis merusak ekinomi seluruh indonesia,menaikan ekonomi pemilik makan bergizi gratis merusak ekinomi indonesia,Netral,2,Netral,0.9638150930404663
@reyy174,2026-05-10T06:32:19Z,0,"800 juta dana anggaran opini publik pakai apbn, mana ko gada yang bela mbg dana nya kemana",True,lmcwEO9Lqe8,juta dana anggaran opini publik pakai apbn mana ko gada yang bela mbg dana nya kemana,juta dana anggaran opini publik pakai apbn mana ko gada yang bela makan bergizi gratis dana nya kemana,juta dana anggaran opini publik pakai apbn ko gada bela makan bergizi gratis dana kemana,Netral,2,Negatif,0.43458133935928345
@ikahsantikah5786,2026-05-09T09:36:49Z,0,Mbg pentas nya buat makan kucing 😂,True,lmcwEO9Lqe8,mbg pentas nya buat makan kucing,makan bergizi gratis pentas nya buat makan kucing,makan bergizi gratis pentas makan kucing,Netral,2,Netral,0.9784348011016846
@ayodhiaanto8215,2026-05-09T00:37:30Z,0,"300 trilyun lebih yg sampai ke masyarakat tdk lebih dr 30%.
Mending kasih rakyat org tua murid & org miskin. Insya Allah bermanfaat dan berdampak pd ekonomi kerakyatan... 
Iya ngga seh...?",True,lmcwEO9Lqe8,trilyun lebih yg sampai ke masyarakat tdk lebih dr mending kasih rakyat org tua murid org miskin insya allah bermanfaat dan berdampak pd ekonomi kerakyatan iya ngga seh,trilyun lebih yang sampai ke masyarakat tidak lebih dari mending kasih rakyat org tua murid org miskin insya allah bermanfaat dan berdampak pada ekonomi kerakyatan iya tidak seh,trilyun masyarakat mending kasih rakyat org tua murid org miskin insya allah bermanfaat berdampak ekonomi kerakyatan iya seh,Positif,4,Positif,0.9742782711982727
@faizandries2897,2026-05-08T04:05:10Z,0,Program menghamburkan uang rakyat 😭😭😭,True,lmcwEO9Lqe8,program menghamburkan uang rakyat,program menghamburkan uang rakyat,program menghamburkan uang rakyat,Netral,2,Netral,0.978828489780426
@CikoJuli-j9g,2026-05-07T02:51:56Z,0,MBG adalah progam konyol,True,lmcwEO9Lqe8,mbg adalah progam konyol,makan bergizi gratis adalah progam konyol,makan bergizi gratis progam konyol,Netral,2,Netral,0.9742739796638489
@CikoJuli-j9g,2026-05-07T02:49:57Z,0,Kalau saya MBG gak ada manfaatnya tmpat ladang korupsi,True,lmcwEO9Lqe8,kalau saya mbg gak ada manfaatnya tmpat ladang korupsi,kalau saya makan bergizi gratis tidak ada manfaatnya tmpat ladang korupsi,makan bergizi gratis manfaatnya tmpat ladang korupsi,Negatif,1,Negatif,0.9768396019935608
@gemuruhchannel9524,2026-05-05T07:09:41Z,0,MBG bikin lembaga sekolah kyak barak barak militer yg menyediakan makanan untuk tentara dlm Susana perang,True,lmcwEO9Lqe8,mbg bikin lembaga sekolah kyak barak barak militer yg menyediakan makanan untuk tentara dlm susana perang,makan bergizi gratis bikin lembaga sekolah kyak barak barak militer yang menyediakan makanan untuk tentara dlm susana perang,makan bergizi gratis bikin lembaga sekolah kyak barak barak militer menyediakan makanan tentara dlm susana perang,Netral,2,Netral,0.9806376695632935
@CahyaSaputra-c7t,2026-05-03T01:03:26Z,0,Kalau mau menutup Mbg harus sama presidenya baru bisa tutup MBG,True,lmcwEO9Lqe8,kalau mau menutup mbg harus sama presidenya baru bisa tutup mbg,kalau mau menutup makan bergizi gratis harus sama presidenya baru bisa tutup makan bergizi gratis,menutup makan bergizi gratis presidenya tutup makan bergizi gratis,Netral,2,Netral,0.9791414141654968
@IanIkhsan-fv2qj,2026-04-29T12:40:13Z,0,Program mbg hanya untuk memperkenyang perut para elit koruptor ttup aja mbg abisin anggaran pajak rakyat,True,lmcwEO9Lqe8,program mbg hanya untuk memperkenyang perut para elit koruptor ttup aja mbg abisin anggaran pajak rakyat,program makan bergizi gratis hanya untuk memperkenyang perut para elit koruptor ttup saja makan bergizi gratis abisin anggaran pajak rakyat,program makan bergizi gratis memperkenyang perut elit koruptor ttup makan bergizi gratis abisin anggaran pajak rakyat,Netral,2,Netral,0.9742198586463928
@suwardi3248,2026-04-29T00:47:05Z,0,MBG ltu program untuk mengamankan kursi 2029.,True,lmcwEO9Lqe8,mbg ltu program untuk mengamankan kursi,makan bergizi gratis ltu program untuk mengamankan kursi,makan bergizi gratis ltu program mengamankan kursi,Netral,2,Netral,0.9834859371185303
@etrymatutu6635,2026-04-28T13:20:55Z,0,Makan gratis terus saja sampai ko suksesss nak😅,True,lmcwEO9Lqe8,makan gratis terus saja sampai ko suksesss nak,makan gratis terus saja sampai ko suksesss nak,makan gratis ko suksesss nak,Positif,4,Positif,0.9598243832588196
@Athaya931,2026-04-24T22:18:14Z,0,"Bubarkan MBG...
bubarkan MBG
Bubarkan MBG...",True,lmcwEO9Lqe8,bubarkan mbg bubarkan mbg bubarkan mbg,bubarkan makan bergizi gratis bubarkan makan bergizi gratis bubarkan makan bergizi gratis,bubarkan makan bergizi gratis bubarkan makan bergizi gratis bubarkan makan bergizi gratis,Netral,2,Netral,0.9811527729034424
@Athaya931,2026-04-23T15:59:15Z,0,"Rakyat itu dah tahu bahwa program MBG itu membawa hal negatip dan negatip...
Dan TDK menguntungkan rakyat..
Malah menjadi beban rakyat.
itupun yg di untungkan orang kaya dan pejabat aja..
Lihat aja dan semakin secara detail...
Yang kaya semakin kaya..
Dan itupun akan membawa dampak hancurnya ekonomi Indonesia...
Hampir 85% rakyat menolak adanya MBG..
Karena bikin susah dan resah kepada rakyat..
Bubarkan MBG..",True,lmcwEO9Lqe8,rakyat itu dah tahu bahwa program mbg itu membawa hal negatip dan negatip dan tdk menguntungkan rakyat malah menjadi beban rakyat itupun yg di untungkan orang kaya dan pejabat aja lihat aja dan semakin secara detail yang kaya semakin kaya dan itupun akan membawa dampak hancurnya ekonomi indonesia hampir rakyat menolak adanya mbg karena bikin susah dan resah kepada rakyat bubarkan mbg,rakyat itu dah tahu bahwa program makan bergizi gratis itu membawa hal negatip dan negatip dan tidak menguntungkan rakyat malah menjadi beban rakyat itupun yang di untungkan orang kaya dan pejabat saja lihat saja dan semakin secara detail yang kaya semakin kaya dan itupun akan membawa dampak hancurnya ekonomi indonesia hampir rakyat menolak adanya makan bergizi gratis karena bikin susah dan resah kepada rakyat bubarkan makan bergizi gratis,rakyat dah program makan bergizi gratis membawa negatip negatip menguntungkan rakyat beban rakyat itupun untungkan kaya pejabat detail kaya kaya itupun membawa dampak hancurnya ekonomi indonesia rakyat menolak makan bergizi gratis bikin susah resah rakyat bubarkan makan bergizi gratis,Negatif,1,Negatif,0.8601511120796204
@AldiyusufPurnama,2026-04-23T13:53:46Z,0,Mbg bisnis para orang orang berduwit.,True,lmcwEO9Lqe8,mbg bisnis para orang orang berduwit,makan bergizi gratis bisnis para orang orang berduwit,makan bergizi gratis bisnis berduwit,Netral,2,Netral,0.9748759865760803
@AsepBasit-jb2jd,2026-04-23T11:16:17Z,0,Mbg. Proyek. Korupsi.   Gila. Gilaan   stop. Lah. Uang. Rakyat. Hasil. Pajak,True,lmcwEO9Lqe8,mbg proyek korupsi gila gilaan stop lah uang rakyat hasil pajak,makan bergizi gratis proyek korupsi gila gilaan stop lah uang rakyat hasil pajak,makan bergizi gratis proyek korupsi gila gilaan stop uang rakyat hasil pajak,Negatif,1,Negatif,0.9770968556404114
