author,published_at,like_count,text,public,video_id,text_clean,text_normalized,text_final,label
@suryautama578,2026-05-24T17:28:10Z,0,"Program MBG seharusnya hanya untuk daerah terpencil, terperosok dan tertinggal dan tidak di setiap daerah di Indonesia. Output dan outcome belum jelas muatan substansinya dan belum ada indeks tolok ukur yang jelas untuk output dan outcome nya, alih alih tercipta output dan outcome tetapi malah justru membebani anggarsn negara. Ironisnya para yayasan pengelola  atau mitra dapur SPPG justru “kroni” penguasa sehingga tidak memberi kesempatan UMKM. Program MBG resistensi terjadinya pemborosan keuangan negara atau bahkan mungkin kerugian negara",True,lmcwEO9Lqe8,program mbg seharusnya hanya untuk daerah terpencil terperosok dan tertinggal dan tidak di setiap daerah di indonesia output dan outcome belum jelas muatan substansinya dan belum ada indeks tolok ukur yang jelas untuk output dan outcome nya alih alih tercipta output dan outcome tetapi malah justru membebani anggarsn negara ironisnya para yayasan pengelola atau mitra dapur sppg justru kroni penguasa sehingga tidak memberi kesempatan umkm program mbg resistensi terjadinya pemborosan keuangan negara atau bahkan mungkin kerugian negara,program makan bergizi gratis seharusnya hanya untuk daerah terpencil terperosok dan tertinggal dan tidak di setiap daerah di indonesia output dan outcome belum jelas muatan substansinya dan belum ada indeks tolok ukur yang jelas untuk output dan outcome nya alih alih tercipta output dan outcome tetapi malah justru membebani anggarsn negara ironisnya para yayasan pengelola atau mitra dapur sppg justru kroni penguasa sehingga tidak memberi kesempatan umkm program makan bergizi gratis resistensi terjadinya pemborosan keuangan negara atau bahkan mungkin kerugian negara,program makan bergizi gratis daerah terpencil terperosok tertinggal daerah indonesia output outcome muatan substansinya indeks tolok ukur output outcome alih alih tercipta output outcome membebani anggarsn negara ironisnya yayasan pengelola mitra dapur sppg kroni penguasa kesempatan umkm program makan bergizi gratis resistensi pemborosan keuangan negara kerugian negara,Negatif
@hadiarifin3303,2026-05-23T08:00:05Z,0,"Mari kita lihat kembali Janji  3 capres ketika Kampanye di sesi debat terbuka.

_1 Anis B  Capres No 1_
_Janji politiknya adalah perubahan selalu perubahan, tapi perubahan yg bagaimana tidak jelas   adalah janji  kosong asal janji  tidak punya magna._

_2 Prabowo S Capres No2_
_Janji politiknya adalah Makan siang Gratis untuk anak sekolah dalam upaya Perbaikan Gizi._

_3 Ganjar P  Capres No 3_
_Janji politiknya adalah Pendidikan gratis untuk keluarga miskin berperestasi sampai tingkat perguruan tinggi dalam rangka rakyat mendapatkan hak pendidikan, dan layanan kesehatan gratis bagi lansia yg tidak punya penghasilan_

Dari 3 capres ini kita bisa menilai secara obyektif   menyimpulkan janji politiknya capres yg realitis dan tepat dengan kondisi indonesia saat ini_

Kalau kebijakan presiden terpilih Prabowo  banyak yg tidak tepat   yg salah yg milih  hampir 60℅ pemilih.",True,lmcwEO9Lqe8,mari kita lihat kembali janji capres ketika kampanye di sesi debat terbuka anis b capres no janji politiknya adalah perubahan selalu perubahan tapi perubahan yg bagaimana tidak jelas adalah janji kosong asal janji tidak punya magna prabowo s capres no janji politiknya adalah makan siang gratis untuk anak sekolah dalam upaya perbaikan gizi ganjar p capres no janji politiknya adalah pendidikan gratis untuk keluarga miskin berperestasi sampai tingkat perguruan tinggi dalam rangka rakyat mendapatkan hak pendidikan dan layanan kesehatan gratis bagi lansia yg tidak punya penghasilan dari capres ini kita bisa menilai secara obyektif menyimpulkan janji politiknya capres yg realitis dan tepat dengan kondisi indonesia saat ini kalau kebijakan presiden terpilih prabowo banyak yg tidak tepat yg salah yg milih hampir pemilih,mari kita lihat kembali janji capres ketika kampanye di sesi debat terbuka anis b capres no janji politiknya adalah perubahan selalu perubahan tapi perubahan yang bagaimana tidak jelas adalah janji kosong asal janji tidak punya magna prabowo s capres no janji politiknya adalah makan siang gratis untuk anak sekolah dalam upaya perbaikan gizi ganjar p capres no janji politiknya adalah pendidikan gratis untuk keluarga miskin berperestasi sampai tingkat perguruan tinggi dalam rangka rakyat mendapatkan hak pendidikan dan layanan kesehatan gratis bagi lansia yang tidak punya penghasilan dari capres ini kita bisa menilai secara obyektif menyimpulkan janji politiknya capres yang realitis dan tepat dengan kondisi indonesia saat ini kalau kebijakan presiden terpilih prabowo banyak yang tidak tepat yang salah yang milih hampir pemilih,mari janji capres kampanye sesi debat terbuka anis capres no janji politiknya perubahan perubahan perubahan janji kosong janji magna prabowo capres no janji politiknya makan siang gratis anak sekolah upaya perbaikan gizi ganjar capres no janji politiknya pendidikan gratis keluarga miskin berperestasi tingkat perguruan tinggi rangka rakyat hak pendidikan layanan kesehatan gratis lansia penghasilan capres menilai obyektif menyimpulkan janji politiknya capres realitis kondisi indonesia kebijakan presiden terpilih prabowo salah milih pemilih,Positif
@AtotAndreas,2026-05-20T12:48:42Z,0,Klu dessa d kota oke sesuai kebijakan tapi desa di luar kota itu di nipolasi semua oleh kepala daerah periksa saja klu gak percaya,True,lmcwEO9Lqe8,klu dessa d kota oke sesuai kebijakan tapi desa di luar kota itu di nipolasi semua oleh kepala daerah periksa saja klu gak percaya,klu dessa d kota oke sesuai kebijakan tapi desa di luar kota itu di nipolasi semua oleh kepala daerah periksa saja klu tidak percaya,klu dessa kota oke sesuai kebijakan desa kota nipolasi kepala daerah periksa klu percaya,Tidak Berlabel
@achmadhusein389,2026-05-18T19:21:13Z,0,"335T pertahun, berarti 1,675 Kuadriliun per-satu masa jabatan pak wowo. fyi, jumlah segitu kurang lebih setara sm nilai investasi Nvidia buat pengembangan pusat data super berskala global dan infrastruktur komputasi AI di masa depan.
kurang mindblowing apa coba, dana yg cukup buat jalanin proyek berskala global dan berpotensi ngasih dampak signifikan ke industri di era modern, eh org kita mlh milih all out buat muasin ego realisasi program kampanye yg berpotensi jd ladang basah korupsi nasional😂",True,lmcwEO9Lqe8,t pertahun berarti kuadriliun per satu masa jabatan pak wowo fyi jumlah segitu kurang lebih setara sm nilai investasi nvidia buat pengembangan pusat data super berskala global dan infrastruktur komputasi ai di masa depan kurang mindblowing apa coba dana yg cukup buat jalanin proyek berskala global dan berpotensi ngasih dampak signifikan ke industri di era modern eh org kita mlh milih all out buat muasin ego realisasi program kampanye yg berpotensi jd ladang basah korupsi nasional,t pertahun berarti kuadriliun per satu masa jabatan pak wowo fyi jumlah segitu kurang lebih setara sama nilai investasi nvidia buat pengembangan pusat data super berskala global dan infrastruktur komputasi ai di masa depan kurang mindblowing apa coba dana yang cukup buat jalanin proyek berskala global dan berpotensi ngasih dampak signifikan ke industri di era modern eh org kita mlh milih all out buat muasin ego realisasi program kampanye yang berpotensi jd ladang basah korupsi nasional,pertahun kuadriliun jabatan wowo fyi segitu setara nilai investasi nvidia pengembangan pusat data super berskala global infrastruktur komputasi ai mindblowing coba dana jalanin proyek berskala global berpotensi ngasih dampak signifikan industri era modern org mlh milih all out muasin ego realisasi program kampanye berpotensi jd ladang basah korupsi nasional,Negatif
@jakasusila4522,2026-05-15T09:52:34Z,0,"Pasti parpol yg tergabung nikmati hasil korupsinya,dg dalih beri makan anak sekolah tanpa proses akademesi jelas ngawur tdk profesional,presiden ngotot diteruskan tanpa  dicek hasilnya,benar maling kedok mbg.",True,lmcwEO9Lqe8,pasti parpol yg tergabung nikmati hasil korupsinya dg dalih beri makan anak sekolah tanpa proses akademesi jelas ngawur tdk profesional presiden ngotot diteruskan tanpa dicek hasilnya benar maling kedok mbg,pasti parpol yang tergabung nikmati hasil korupsinya dg dalih beri makan anak sekolah tanpa proses akademesi jelas ngawur tidak profesional presiden ngotot diteruskan tanpa dicek hasilnya benar maling kedok makan bergizi gratis,parpol tergabung nikmati hasil korupsinya dg dalih makan anak sekolah proses akademesi ngawur profesional presiden ngotot diteruskan dicek hasilnya maling kedok makan bergizi gratis,Negatif
@TonyRush-uq8zf,2026-05-15T02:11:48Z,0,"Menaikan ekonomi pemilik mbg, merusak ekinomi seluruh indonesia.
😊",True,lmcwEO9Lqe8,menaikan ekonomi pemilik mbg merusak ekinomi seluruh indonesia,menaikan ekonomi pemilik makan bergizi gratis merusak ekinomi seluruh indonesia,menaikan ekonomi pemilik makan bergizi gratis merusak ekinomi indonesia,Netral
@Baning1234-c3m,2026-05-13T03:56:44Z,0,Modal wowo ngejar koruptor ke Antartika,True,lmcwEO9Lqe8,modal wowo ngejar koruptor ke antartika,modal wowo ngejar koruptor ke antartika,modal wowo ngejar koruptor antartika,Tidak Berlabel
@romina6907,2026-05-13T03:38:20Z,0,lihat saja kedepan nya nanti 😊 yang pasti ekonomi mulai berjalan yang pasti petani harus lebih giat lagi apa pun itu,True,lmcwEO9Lqe8,lihat saja kedepan nya nanti yang pasti ekonomi mulai berjalan yang pasti petani harus lebih giat lagi apa pun itu,lihat saja kedepan nya nanti yang pasti ekonomi mulai berjalan yang pasti petani harus lebih giat lagi apa pun itu,kedepan ekonomi berjalan petani giat,Tidak Berlabel
@parmiaryani4990,2026-05-11T11:37:26Z,0,Seolah negara Indonesia hnya milik mereka2 saja..makan kenyang uang ngalir terus..,True,lmcwEO9Lqe8,seolah negara indonesia hnya milik mereka saja makan kenyang uang ngalir terus,seolah negara indonesia hnya milik mereka saja makan kenyang uang ngalir terus,negara indonesia hnya milik makan kenyang uang ngalir,Tidak Berlabel
@reyy174,2026-05-10T06:32:19Z,0,"800 juta dana anggaran opini publik pakai apbn, mana ko gada yang bela mbg dana nya kemana",True,lmcwEO9Lqe8,juta dana anggaran opini publik pakai apbn mana ko gada yang bela mbg dana nya kemana,juta dana anggaran opini publik pakai apbn mana ko gada yang bela makan bergizi gratis dana nya kemana,juta dana anggaran opini publik pakai apbn ko gada bela makan bergizi gratis dana kemana,Netral
