author,published_at,like_count,text,public,video_id
@suryautama578,2026-05-24T17:28:10Z,0,"Program MBG seharusnya hanya untuk daerah terpencil, terperosok dan tertinggal dan tidak di setiap daerah di Indonesia. Output dan outcome belum jelas muatan substansinya dan belum ada indeks tolok ukur yang jelas untuk output dan outcome nya, alih alih tercipta output dan outcome tetapi malah justru membebani anggarsn negara. Ironisnya para yayasan pengelola  atau mitra dapur SPPG justru “kroni” penguasa sehingga tidak memberi kesempatan UMKM. Program MBG resistensi terjadinya pemborosan keuangan negara atau bahkan mungkin kerugian negara",True,lmcwEO9Lqe8
@hadiarifin3303,2026-05-23T08:00:05Z,0,"Mari kita lihat kembali Janji  3 capres ketika Kampanye di sesi debat terbuka.

_1 Anis B  Capres No 1_
_Janji politiknya adalah perubahan selalu perubahan, tapi perubahan yg bagaimana tidak jelas   adalah janji  kosong asal janji  tidak punya magna._

_2 Prabowo S Capres No2_
_Janji politiknya adalah Makan siang Gratis untuk anak sekolah dalam upaya Perbaikan Gizi._

_3 Ganjar P  Capres No 3_
_Janji politiknya adalah Pendidikan gratis untuk keluarga miskin berperestasi sampai tingkat perguruan tinggi dalam rangka rakyat mendapatkan hak pendidikan, dan layanan kesehatan gratis bagi lansia yg tidak punya penghasilan_

Dari 3 capres ini kita bisa menilai secara obyektif   menyimpulkan janji politiknya capres yg realitis dan tepat dengan kondisi indonesia saat ini_

Kalau kebijakan presiden terpilih Prabowo  banyak yg tidak tepat   yg salah yg milih  hampir 60℅ pemilih.",True,lmcwEO9Lqe8
@AtotAndreas,2026-05-20T12:48:42Z,0,Klu dessa d kota oke sesuai kebijakan tapi desa di luar kota itu di nipolasi semua oleh kepala daerah periksa saja klu gak percaya,True,lmcwEO9Lqe8
@achmadhusein389,2026-05-18T19:21:13Z,0,"335T pertahun, berarti 1,675 Kuadriliun per-satu masa jabatan pak wowo. fyi, jumlah segitu kurang lebih setara sm nilai investasi Nvidia buat pengembangan pusat data super berskala global dan infrastruktur komputasi AI di masa depan.
kurang mindblowing apa coba, dana yg cukup buat jalanin proyek berskala global dan berpotensi ngasih dampak signifikan ke industri di era modern, eh org kita mlh milih all out buat muasin ego realisasi program kampanye yg berpotensi jd ladang basah korupsi nasional😂",True,lmcwEO9Lqe8
@mytubeid8834,2026-05-16T13:37:05Z,0,Negara gagal,True,lmcwEO9Lqe8
@jakasusila4522,2026-05-15T09:52:34Z,0,"Pasti parpol yg tergabung nikmati hasil korupsinya,dg dalih beri makan anak sekolah tanpa proses akademesi jelas ngawur tdk profesional,presiden ngotot diteruskan tanpa  dicek hasilnya,benar maling kedok mbg.",True,lmcwEO9Lqe8
@TonyRush-uq8zf,2026-05-15T02:11:48Z,0,"Menaikan ekonomi pemilik mbg, merusak ekinomi seluruh indonesia.
😊",True,lmcwEO9Lqe8
@Baning1234-c3m,2026-05-13T03:56:44Z,0,Modal wowo ngejar koruptor ke Antartika,True,lmcwEO9Lqe8
@romina6907,2026-05-13T03:38:20Z,0,lihat saja kedepan nya nanti 😊 yang pasti ekonomi mulai berjalan yang pasti petani harus lebih giat lagi apa pun itu,True,lmcwEO9Lqe8
@parmiaryani4990,2026-05-11T11:37:26Z,0,Seolah negara Indonesia hnya milik mereka2 saja..makan kenyang uang ngalir terus..,True,lmcwEO9Lqe8
